Aafrika	Afrika
Jacksoni maakond (Lõuna-Dakota)	Jackson County (Sør-Dakota)
Hughesi maakond	Hughes County (Sør-Dakota)
Westmorelandi maakond	Westmoreland County (Pennsylvania)
Hyde'i maakond (Lõuna-Dakota)	Hyde County (Sør-Dakota)
Beauforti maakond (Lõuna-Carolina)	Beaufort County (Sør-Carolina)
Manzini	Manzini
Mobile'i maakond	Mobile County
Pontotoci maakond	Pontotoc County (Oklahoma)
Muskogee maakond	Muskogee County
Pottawatomie maakond	Pottawatomie County (Oklahoma)
Lincolni maakond (Oklahoma)	Lincoln County (Oklahoma)
Rogersi maakond	Rogers County
Osage'i maakond (Oklahoma)	Osage County (Oklahoma)
McIntoshi maakond (Oklahoma)	McIntosh County (Oklahoma)
Washingtoni maakond (Nebraska)	Washington County (Nebraska)
Stantoni maakond	Stanton County (Nebraska)
Perkinsi maakond (Nebraska)	Perkins County (Nebraska)
Harlani maakond (Nebraska)	Harlan County (Nebraska)
Fillmore'i maakond (Nebraska)	Fillmore County (Nebraska)
Lincolni maakond (Nebraska)	Lincoln County (Nebraska)
Phelpsi maakond	Phelps County (Nebraska)
Holti maakond	Holt County (Nebraska)
Wheatlandi maakond	Wheatland County
Furnasi maakond	Furnas County
Calle Halfvarsson	Calle Halfvarsson
Bremeni peapiiskopkond	Bremen erkebispedømme
Niklas Dyrhaug	Niklas Dyrhaug
Kerkemurrang	Skyvedekke
Wrexham	Wrexham
Lipari	Lipari
Qujing	Qujing
Sierra maakond (New Mexico)	Sierra County (New Mexico)
Euroopa keeltepäev	Den europeiske språkdagen
Washingtoni maakond (Missouri)	Washington County (Missouri)
Yuxi	Yuxi
Santa Fe maakond	Santa Fe County (New Mexico)
Missoula maakond	Missoula County
Baoshan Shi	Baoshan (Yunnan)
Phillipsi maakond (Montana)	Phillips County (Montana)
Hilli maakond	Hill County (Montana)
Madisoni maakond (Montana)	Madison County (Montana)
Powelli maakond (Montana)	Powell County (Montana)
Flatheadi maakond	Flathead County
Granite'i maakond	Granite County
Parki maakond (Montana)	Park County (Montana)
Lewis and Clarki maakond	Lewis and Clark County
Prairie maakond	Prairie County (Montana)
Jeffersoni maakond (Montana)	Jefferson County (Montana)
Roosevelti maakond	Roosevelt County (Montana)
Pu'er	Pu'er
Oweni maakond (Kentucky)	Owen County (Kentucky)
Lincang	Lincang
Merceri maakond (New Jersey)	Mercer County (New Jersey)
Tabel	Tabell
Scotlandi maakond (Missouri)	Scotland County (Missouri)
Andreas Faehlmann	Andreas Faehlmann
Kennebeci maakond	Kennebec County
Hapnikhapped	Oksosyrer
Washingtoni maakond (Pennsylvania)	Washington County (Pennsylvania)
Suur Tütarsaar	Bolsjoj Tjuters
Ojasääriklased	Bredleggsvannymfer
Yadkini maakond	Yadkin County
Viktor Kossitškin	Viktor Kositsjkin
Marettimo	Marettimo
Oneida maakond (Wisconsin)	Oneida County (Wisconsin)
Walcourt	Walcourt
Junge Union	Junge Union
Shannoni maakond (Missouri)	Shannon County (Missouri)
Vettehüpped 2008. aasta suveolümpiamängudel	Stuping under Sommer-OL 2008
Taani hindamisraamat	Kong Valdemars jordebok
Genesee maakond	Genesee County (Michigan)
Durbuy	Durbuy
Jacksoni maakond (Michigan)	Jackson County (Michigan)
Pendletoni maakond	Pendleton County (Kentucky)
Menominee maakond	Menominee County (Michigan)
Deux-Sèvres'i departemangu haldusüksuste loend	Kommuner i departementet Deux-Sèvres
Georgi Zažitski	Georgi Zažitski
Orkla	Orkla (elv)
Cumberlandi maakond (Maine)	Cumberland County (Maine)
Härgmäe lahing	Slaget ved Ergeme
Pere kokkukukkumise sündroom	Bidøden
Peugeot 308	Peugeot 308
Alleghany maakond (Põhja-Carolina)	Alleghany County (Nord-Carolina)
Atlanticu maakond	Atlantic County
Johnstoni maakond	Johnston County (Nord-Carolina)
Richard Simmons	Richard Simmons
Saint Louisi maakond	St. Louis County (Missouri)
Lincolni maakond (Kentucky)	Lincoln County (Kentucky)
Marquette'i maakond (Michigan)	Marquette County (Michigan)
Välistav disjunktsioon	Eksklusiv disjunksjon
Kuuseriisikas	Granmatriske
Nkandla	Nkandla
Jalgade sidumine	Fotbinding
Estadio Centenario	Estadio Centenario
Bauska	Bauska
Jeffersoni vald	Jefferson Parish
Washingtoni maakond (Georgia)	Washington County (Georgia)
Waltoni maakond (Georgia)	Walton County (Georgia)
Richmondi maakond (Georgia)	Richmond County (Georgia)
Turneri maakond (Georgia)	Turner County (Georgia)
Masvingo provints	Masvingo (provins)
Lõuna-Matabeleland	Matabeleland South
Talboti maakond	Talbot County (Georgia)
Läti Ülikool	Universitetet i Latvia
Karupoeg Puhh (joonisfilm)	Filmen om Ole Brumm
Eda vald	Eda kommune
Karlstadi vald	Karlstad kommune
Læsø vald	Læsø kommune
Ale vald	Ale kommune
Hylte vald	Hylte kommune
Diepholzi vald	Diepholz
Deaflympics	Deaflympics
Quitmani maakond (Georgia)	Quitman County (Georgia)
Korea lõhenemine	Delingen av Korea
Keskaegne soe periood	Den varme perioden i middelalderen
Lõuna-Korea valitsusjuhtide loend	Liste over Sør-Koreas statsministre
Kristianstadi vald	Kristianstad kommune
Soome Sotsiaaldemokraatlik Partei	Finlands sosialdemokratiske parti
Vallasasi	Løsøre
Fogo vulkaan	Pico do Fogo
Tasuta kasutaja probleem	Gratispassasjerproblemet
Sonneberg	Sonneberg
Johan Sigfrid Sirén	Johan Sigfrid Sirén
K-278 Komsomolets	«K-278 Komsomolets»
Deinze	Deinze
Hammarö vald	Hammarö kommune
Kungsbacka vald	Kungsbacka kommune
Kili vald	Kil kommune
Arvidsjauri vald	Arvidsjaur kommune
Linköpingi vald	Linköping kommune
Storumani vald	Storuman kommune
Upplands Väsby vald	Upplands Väsby kommune
Våleri vald (Østfold)	Våler (Østfold)
Bø vald (Telemark)	Bø (Telemark)
Nykvarni vald	Nykvarn kommune
Båstadi vald	Båstad kommune
Kiruna vald	Kiruna kommune
Utsira vald	Utsira
Kotermann	Klabautermann
Geraardsbergen	Geraardsbergen
Browni maakond (Indiana)	Brown County (Indiana)
Re vald	Re
Kooldkaelalised	Halsgjemmere
Andreas Mikkelsen	Andreas Mikkelsen
Saroni saared	De saroniske øyer
Nidelva	Nidelva (Trøndelag)
Kuldvillak (telesaade)	Jeopardy!
Rebildi vald	Rebild kommune
Komissar Rex	Kommissær Rex
Krossijooks	Terrengløp
Avesta vald	Avesta kommune
Gentofte vald	Gentofte kommune
Mojkovac	Mojkovac
Vaxholmi vald	Vaxholm kommune
Venstre (Norra)	Venstre
Vännäsi vald	Vännäs kommune
Reeder	Skipsreder
Kuala Lumpuri rahvusvaheline lennujaam	Kuala Lumpur internasjonale lufthavn
Sõõrsuud	Rundmunner
Yushan	Yushan (fjell)
Silicon Valley piraadid	Pirates of Silicon Valley
Rooma-Pärsia sõjad	De romersk-persiske kriger
Tuulealused saared (Aafrika)	Sotavento
Hickmani maakond	Hickman County (Kentucky)
Jacksoni maakond (Kentucky)	Jackson County (Kentucky)
Nelja märk	De fires tegn
Lille'i I ülikool	Universitetet Lille I
Harlani maakond	Harlan County (Kentucky)
Jeffersoni maakond (Kentucky)	Jefferson County (Kentucky)
Polütsüstiliste munasarjade sündroom	Polycystisk ovariesyndrom
Turniir	Turnering
Ruski maakond	Rusk County (Wisconsin)
Süüdiklest	Skabbmidd
Green Lake'i maakond	Green Lake County
Tiksi	Tiksi
Jacksoni maakond (Wisconsin)	Jackson County (Wisconsin)
Andreas Tews	Andreas Tews
Portage'i maakond (Wisconsin)	Portage County (Wisconsin)
Marquette'i maakond	Marquette County (Wisconsin)
Britannia staadion	Britannia Stadium
Menominee maakond (Wisconsin)	Menominee County (Wisconsin)
Arda jõgi	Arda (elv i Bulgaria)
Jeffersoni maakond (Wisconsin)	Jefferson County (Wisconsin)
Zarafšon	Zeravsjan
Lake'i maakond (Florida)	Lake County (Florida)
Hopkinsi maakond	Hopkins County (Kentucky)
Limestone'i maakond (Alabama)	Limestone County (Alabama)
Üksiku nukleotiidi polümorfism	Enkeltnukleotidpolymorfi
Pauldingi maakond	Paulding County (Georgia)
Hale'i maakond (Alabama)	Hale County (Alabama)
Washingtoni maakond (Alabama)	Washington County (Alabama)
Caroline'i maakond (Maryland)	Caroline County (Maryland)
Dorchesteri maakond	Dorchester County (Maryland)
Pocahontase maakond	Pocahontas County (Vest-Virginia)
Fredericki maakond	Frederick County (Maryland)
Ja päike tõuseb	Og solen går sin gang
Pinta (laev)	«Pinta»
Tulevik (keeleteadus)	Futurum
Uddevalla vald	Uddevalla kommune
W.I.T.C.H.	W.I.T.C.H.
Saksa keiser	Tysk keiser
Sande vald (Møre og Romsdal)	Sande (Møre og Romsdal)
Grani vald	Gran (kommune)
Vallentuna vald	Vallentuna kommune
Strängnäsi vald	Strängnäs kommune
Malå vald	Malå kommune
Ameerika Ühendriikide Põllumajandusministeerium	Jordbruksdepartementet (USA)
Faluni vald	Falu kommune
Keskkõrv	Mellomøre
Washingtoni maakond (Wisconsin)	Washington County (Wisconsin)
Iowa maakond (Wisconsin)	Iowa County (Wisconsin)
Shelby maakond (Tennessee)	Shelby County (Tennessee)
BMW 5. seeria	BMW 5-serie
Schleswig	Schleswig
Andrei Makovejev	Andrej Makovejev
Vastuluure	Kontraetterretning
Roheneemesaarte riigipeade loend	Liste over Kapp Verdes presidenter
Karantaania	Karantania
Lumpenproletariaat	Filleproletariat
Kanawha maakond	Kanawha County
McDowelli maakond	McDowell County (Vest-Virginia)
Raleigh' maakond	Raleigh County
Roane'i maakond	Roane County (Vest-Virginia)
Turu Ülikool	Åbo universitet
Heterosügootsus	Heterozygot
Arteriool	Arteriol
Williamsoni maakond (Tennessee)	Williamson County (Tennessee)
Stewarti maakond	Stewart County (Tennessee)
Florence'i maakond (Wisconsin)	Florence County (Wisconsin)
Hirmu neem (film 1991)	Cape Fear (1991)
Fredericki maakond (Virginia)	Frederick County (Virginia)
Galaktika-väline astronoomia	Ekstragalaktisk astronomi
Hickmani maakond (Tennessee)	Hickman County (Tennessee)
Bensiinimootor	Bensinmotor
Haywoodi maakond (Tennessee)	Haywood County (Tennessee)
Foresti maakond	Forest County (Wisconsin)
Casablanca konverents	Casablancakonferansen
Haute-Savoie departemangu haldusüksuste loend	Kommuner i departementet Haute-Savoie
Guadeloupe'i departemangu haldusüksuste loend	Kommuner i departementet Guadeloupe
Kâmpóng Thumi provints	Kampong Thom (provins)
Preăh Vĭhéari provints	Preah Vihear
S&M (Metallica)	S&M (album)
Frederikshavni vald	Frederikshavn kommune
Sodankylä vald	Sodankylä
Andrei Jämsä	Andrei Jämsä
Dane'i maakond	Dane County
Andrei Lugovoi	Andrej Lugovoj
Trulling	Smerling
Meuse'i departemangu haldusüksuste loend	Kommuner i departementet Meuse
Guilfordi maakond	Guilford County
Vaikus	Stillhet
Greenwoodi maakond	Greenwood County (Sør-Carolina)
Padilaava	Putelava
Põhjapiirkond (Kamerun)	Nord (Kamerun)
Rutherfordi maakond (Tennessee)	Rutherford County (Tennessee)
Meigsi maakond (Tennessee)	Meigs County (Tennessee)
Roane'i maakond (Tennessee)	Roane County (Tennessee)
Kadunud 60 sekundiga	Gone in 60 seconds
Humphreysi maakond	Humphreys County (Tennessee)
Lexingtoni maakond	Lexington County
Chesterfieldi maakond (Lõuna-Carolina)	Chesterfield County (Sør-Carolina)
Dorchesteri maakond (Lõuna-Carolina)	Dorchester County (Sør-Carolina)
Hardemani maakond	Hardeman County (Tennessee)
Gibsoni maakond	Gibson County (Tennessee)
Großschweidnitz	Großschweidnitz
Bertsdorf-Hörnitz	Bertsdorf-Hörnitz
Oderwitzi vald	Oderwitz
Neißeaue vald	Neißeaue
Quitzdorf am See vald	Quitzdorf am See
Gilesi maakond	Giles County (Tennessee)
Hohendubrau vald	Hohendubrau
Obercunnersdorf	Obercunnersdorf
Hainewalde	Hainewalde
Haywoodi maakond	Haywood County (Nord-Carolina)
Kreba-Neudorfi vald	Kreba-Neudorf
Oybini vald	Oybin
Niedercunnersdorfi vald	Niedercunnersdorf
Thurstoni maakond (Nebraska)	Thurston County (Nebraska)
Rietscheni vald	Rietschen
Dürrhennersdorfi vald	Dürrhennersdorf
Jacksoni maakond (Põhja-Carolina)	Jackson County (Nord-Carolina)
Eibau	Eibau
Morna (muusika)	Morna
Surnud 2004	Dødsfall i 2004
Groß Dübeni vald	Groß Düben
Berthelsdorf	Berthelsdorf
Golden Valley maakond (Montana)	Golden Valley County (Montana)
Olbersdorfi vald	Olbersdorf
Oppachi vald	Oppach
Beiersdorfi vald	Beiersdorf
Rosenbachi vald	Rosenbach (Oberlausitz)
Krauschwitzi vald (Saksimaa)	Krauschwitz (Sachsen)
Liidriklased	Blåvannymfer
Leutersdorf (Saksimaa)	Leutersdorf (Sachsen)
Großhennersdorf	Großhennersdorf
Greiz	Greiz
Otsego maakond (Michigan)	Otsego County (Michigan)
Morsø vald	Morsø kommune
Montgomery maakond (Alabama)	Montgomery County (Alabama)
Holograafiline universaalketas	Holographic Versatile Disc
Washingtoni maakond (Kentucky)	Washington County (Kentucky)
Humanoid	Humanoid
Micro-Star International	Micro-Star International
Simpsoni maakond (Kentucky)	Simpson County (Kentucky)
Snuukeri maailmameistrivõistlused	Verdensmesterskapet i snooker
Federal Emergency Management Agency	Federal Emergency Management Agency
Natura 2000	Natura 2000
Laholm	Laholm
Vereeniging	Vereeniging
Derrick Brew	Derrick Brew
Wilcoxi maakond (Alabama)	Wilcox County (Alabama)
Ketid	Ketere
Hans Hedtoft	Hans Hedtoft
Winstoni maakond (Alabama)	Winston County (Alabama)
Vinüülrühm	Vinyl
Before Present	Before Present
Alexander Stubb	Alexander Stubb
Eskilstuna vald	Eskilstuna kommune
Schönau-Berzdorfi vald	Schönau-Berzdorf
Christie's	Christie's
Finspångi vald	Finspång kommune
PetroChina	PetroChina
Ludvika vald	Ludvika kommune
Borlänge vald	Borlänge kommune
Jammerbugti vald	Jammerbugt kommune
Ameerika Ühendriikide Salateenistus	U.S. Secret Service
Frederikssundi vald	Frederikssund kommune
2001. aasta kergejõustiku maailmameistrivõistlused	VM i friidrett 2001
Armanjakk	Armagnac
Ookeaniline mägi	Undervannsfjell
BMW 7. seeria	BMW 7-serie
Antifriis	Kjølevæske
Michael O'Hare	Michael O'Hare
C.D. Guadalajara	CD Guadalajara
Dorchester	Dorchester (Dorset)
Terav paljak	Spiss fleinsopp
Carrauntoohil	Carrauntuohill
Tottenham	Tottenham
Suurbritannia Eurovisiooni lauluvõistlusel	Storbritannia i Eurovision Song Contest
Asendusreaktsioon	Substitusjonsreaksjon
Jbel Toubkal	Jbel Toubkal
Woodfordi maakond	Woodford County (Kentucky)
Spenceri maakond (Kentucky)	Spencer County (Kentucky)
Waltoni maakond	Walton County (Florida)
Genfi Ülikool	Universitetet i Genève
1 Canada Square	One Canada Square
Wellsi maakond	Wells County (Indiana)
Terrelli maakond	Terrell County (Georgia)
Georadar	Georadar
Ameerika Ühendriikide Kaubandusministeerium	Handelsdepartementet (USA)
Nicholase maakond (Kentucky)	Nicholas County (Kentucky)
Vangi vald (Oppland)	Vang (Oppland)
Chris Pratt	Chris Pratt
Antipoodid (saared)	Antipodeøyene
Sollentuna vald	Sollentuna kommune
Ossian	Ossians sanger
Portugal Eurovisiooni lauluvõistlusel	Portugal i Eurovision Song Contest
Naantali linn	Nådendal
Oyo osariik	Oyo (delstat)
Bergi vald (Norra)	Berg (kommune)
Nigeri osariik	Niger (delstat)
Bauchi osariik	Bauchi (delstat)
Sokoto osariik	Sokoto (delstat)
Tänavavalgusti	Gatebelysning
Rohetäpik	Keiserkåpe
Seitsmes taevas	Den syvende himmel
LIDAR	LIDAR
Kolonelide diktatuur	Den greske militærjuntaen 1967–1974
Saxon	Saxon
Jalapeño	Jalapeño
Peugeot 607	Peugeot 607
Sini-rägapart	Blåvingeand
Möiraahv	Brølaper
Olofströmi vald	Olofström kommune
Brunswicki maakond	Brunswick County (Nord-Carolina)
Laarid	Larer
Enguri	Inguri
Franklini vald	Franklin Parish
Gümnaasium (Vana-Kreeka)	Gymnasion
Chathami maakond (Põhja-Carolina)	Chatham County (Nord-Carolina)
Mweru	Mweru
Peter Burke	Peter Burke
Veelendlane	Vannflaggermus
Kristallvesi	Krystallvann
Hiilgekiillased	Metalløyestikkere
Vindelni vald	Vindeln kommune
T-44	T-44
ÜRO Kosovo missioon	FNs midlertidige administrasjon i Kosovo
FRELIMO	FRELIMO
Rajajaefekt	Grunnleggereffekten
Nanaid	Hezhen
Lebbeke	Lebbeke
Tor Arne Hetland	Tor-Arne Hetland
Berwick-upon-Tweed	Berwick-upon-Tweed
Halmstadi vald	Halmstad kommune
Kromatofoor	Kromatofor
Vicar	Vicar
Pietro Piller Cottrer	Pietro Piller Cottrer
Dennis Taylor	Dennis Taylor
Costa Rica riigipeade loend	Liste over Costa Ricas presidenter
Friedrich VI (Švaabimaa)	Fredrik VI av Schwaben
Louis Andriessen	Louis Andriessen
Aleksandr Tihhonov	Aleksandr Tikhonov
Arthur Lovejoy	Arthur Lovejoy
George Strong Nares	George Nares
Ristmik	Veikryss
Gilmeri maakond (Lääne-Virginia)	Gilmer County (Vest-Virginia)
Jacksoni maakond (Lääne-Virginia)	Jackson County (Vest-Virginia)
Lars Bystøl	Lars Bystøl
Halvdan Must	Halvdan Svarte
Vladimir Krutov	Vladimir Krutov
Suur Munamägi	Suur Munamägi
Lundi vald	Lund kommune (Sverige)
Nynäshamni vald	Nynäshamn kommune
Ystadi vald	Ystad kommune
Vesihobulased	Elveøyenstikkere
Andrew Holness	Andrew Holness
Saeveski	Sagbruk
Cleveland Abbe	Cleveland Abbe
Cassi maakond (Indiana)	Cass County (Indiana)
Richie Havens	Richie Havens
Wabashi maakond (Indiana)	Wabash County (Indiana)
Washingtoni maakond (Vermont)	Washington County (Vermont)
Jacksoni vald	Jackson Parish
Riia lennujaam	Riga internasjonale lufthavn
Avicii	Avicii
Titisee-Neustadt	Titisee-Neustadt
Rowani maakond	Rowan County (Kentucky)
Oldhami maakond	Oldham County (Kentucky)
Somaatiline närvisüsteem	Det somatiske nervesystem
Kepikesed	Staver
Cibitoke provints	Cibitoke (provins)
Flintshire	Flintshire
Hüperboloid	Hyperboloide
Padania	Padania
Rahvusvaheline füüsikaolümpiaad	Den Internasjonale Fysikkolympiaden
Thurston Moore	Thurston Moore
Nias	Nias
Emand (mängukaart)	Dame (kortspill)
Trappist	Trappistøl
Salina	Salina
Highlandi maakond (Virginia)	Highland County (Virginia)
Ozaukee maakond	Ozaukee County
Prince Edwardi maakond	Prince Edward County
Electrolux	Electrolux
Florence'i maakond	Florence County (Sør-Carolina)
Richlandi maakond (Lõuna-Carolina)	Richland County (Sør-Carolina)
Kaubaalus	Pall
Deira	Deira
Königshaini vald	Königshain
Schöpstali vald	Schöpstal
Kodersdorfi vald	Kodersdorf
Schönbachi vald (Saksimaa)	Schönbach (Sachsen)
Markersdorfi vald (Saksimaa)	Markersdorf (Sachsen)
Korstnapühkija	Feier
Weißkeißeli vald	Weißkeißel
Kaelkoogud	Åk
Waldhufeni vald	Waldhufen
Mittelherwigsdorfi vald	Mittelherwigsdorf
Gablenzi vald (Oberlausitz)	Gablenz (Oberlausitz)
Horka vald	Horka
Gibsoni maakond (Indiana)	Gibson County (Indiana)
Sumneri maakond	Sumner County (Tennessee)
Tazewelli maakond (Virginia)	Tazewell County (Virginia)
Parkinsoni seadus	Parkinsons lov
Surry maakond	Surry County (Virginia)
Sloveenia Eurovisiooni lauluvõistlusel	Slovenia i Eurovision Song Contest
Wake'i maakond	Wake County
Marioni maakond (Indiana)	Marion County (Indiana)
Nashi maakond	Nash County
Fehmarni Belt	Fehmarnbelt
Kommodoor	Flaggkommandør
Dendriitrakk	Dendrittisk celle
Paljas silm	Blotte øye
Otsene tegevus	Direkte aksjon
Glasgow' metroo	Glasgows undergrunnsbane
Franklini maakond (Maine)	Franklin County (Maine)
Whitley maakond (Kentucky)	Whitley County (Kentucky)
Bernd Freytag von Loringhoven	Bernd Freytag von Loringhoven
Ruun	Vallak
Rushi maakond (Indiana)	Rush County (Indiana)
Joachim II	Joachim II av Brandenburg
Ripley maakond	Ripley County (Indiana)
Andrew Newell	Andrew Newell
Soome Keskerakond	Centern (Finland)
Molekuli polaarsus	Polaritet (kjemi)
Pailĭn	Pailin
Allusioon	Allusjon
Endeemia	Endemi
Scotlandi maakond	Scotland County (Nord-Carolina)
Veurne	Veurne
Blanšeerimine	Blanchering
Jacksoni maakond (Indiana)	Jackson County (Indiana)
Rožaje	Rožaje
Franklini maakond (Indiana)	Franklin County (Indiana)
Ebonyi osariik	Ebonyi
Läänemere kilu	Brisling
Kronobioloogia	Kronobiologi
Bernard Williams (kergejõustiklane)	Bernard Williams (friidrettsutøver)
Arpedžo	Arpeggio
Eesaju	Prosencephalon
Pierre Sonnerat	Pierre Sonnerat
Lapsekäru	Barnevogn
Taani Rahvapartei	Dansk Folkeparti
Ryan Whiting	Ryan Whiting
Moldova Eurovisiooni lauluvõistlusel	Moldova i Eurovision Song Contest
Läti Eurovisiooni lauluvõistlusel	Latvia i Eurovision Song Contest
Lincolni maakond (Maine)	Lincoln County (Maine)
Väsimus (tugevusõpetus)	Utmatting
Seriaalne meetod	Serialisme
Washingtoni maakond (Maine)	Washington County (Maine)
Spenceri maakond	Spencer County (Indiana)
Püsikiirusehoidja	Fartsholder
Tiptoni maakond	Tipton County (Indiana)
Tippecanoe maakond	Tippecanoe County
Whitley maakond	Whitley County (Indiana)
St. Josephi maakond	St. Joseph County (Indiana)
Seli vald	Sel (kommune)
Washingtoni maakond (Põhja-Carolina)	Washington County (Nord-Carolina)
Norsjö vald	Norsjö kommune
Piteå vald	Piteå kommune
Robertsforsi vald	Robertsfors kommune
Hedemora vald	Hedemora kommune
Vesikiillased	Libeller
Umeå vald	Umeå kommune
Albert Fish	Albert Fish
Lincolni maakond (Põhja-Carolina)	Lincoln County (Nord-Carolina)
Mecklenburgi maakond	Mecklenburg County (Nord-Carolina)
McDowelli maakond (Põhja-Carolina)	McDowell County (Nord-Carolina)
Surry maakond (Põhja-Carolina)	Surry County (Nord-Carolina)
Rowani maakond (Põhja-Carolina)	Rowan County (Nord-Carolina)
Už	Uzj
Habelendlane	Skjeggflaggermus
Motala vald	Motala kommune
Hässleholmi vald	Hässleholm kommune
